"Course","Term","FileName","Asset","Url","Bytes","Hash"
"EcoIV","20192","Lecture2.pdf","EcoIV_20192_Lecture2.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture2.pdf","465196","7EAF3F418E0A7A594D1943396A7B7B60"
"EcoIV","20192","Lecture20.pdf","EcoIV_20191_Lecture20.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture20.pdf","452225","DAF7003115DA2C597D8599890155AD06"
"EcoIV","20192","Lecture3.pdf","EcoIV_20192_Lecture3.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture3.pdf","634666","01D15008A1774997ABD02D9A372FB9A0"
"EcoIV","20192","Lecture4.pdf","EcoIV_20192_Lecture4.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture4.pdf","554869","476754B763FEB8B87A80342CE4C818EB"
"EcoIV","20192","Lecture5.pdf","EcoIV_20192_Lecture5.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture5.pdf","531119","C8F51FDF7CC1AFD45693F7B389919683"
"EcoIV","20192","Lecture6.pdf","EcoIV_20192_Lecture6.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture6.pdf","654612","9F236D2C311532DE4D1A39308A67B1BE"
"EcoIV","20192","Lecture7.pdf","EcoIV_20192_Lecture7.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture7.pdf","445372","96AB69BAF3DD0147C657285A1679AD89"
"EcoIV","20192","Lecture8.pdf","EcoIV_20192_Lecture8.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture8.pdf","585226","D8302FF4B0D2CB938C463B9F605674E2"
"EcoIV","20192","Lecture9.pdf","EcoIV_20192_Lecture9.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture9.pdf","496932","134F17E305E137EAFBAD726CDA7B91DB"
"EcoIV","20192","Repaso_1_Final_4pm.pdf","EcoIV_20192_Repaso_1_Final_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Final_4pm.pdf","10155689","DFA6EAA1A555B50F0E191D4716CB8EC6"
"EcoIV","20192","Repaso_1_Final_530pm.pdf","EcoIV_20192_Repaso_1_Final_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Final_530pm.pdf","12052073","6D4930C4F664E4C86B4D288E0B2DFA30"
"EcoIV","20192","Repaso_1_Parcial1_4pm.pdf","EcoIV_20192_Repaso_1_Parcial1_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Parcial1_4pm.pdf","4850288","7478DD6A3381186337F6C962E3705BC4"
"EcoIV","20192","Repaso_1_Parcial1_530pm.pdf","EcoIV_20192_Repaso_1_Parcial1_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Parcial1_530pm.pdf","7796140","DFB738F7B2515E92BF3D501DA7DCC7D7"
"EcoIV","20192","Repaso_1_Parcial2_4pm.pdf","EcoIV_20192_Repaso_1_Parcial2_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Parcial2_4pm.pdf","6003872","B97B992B5971086F57010D3395FDAB9E"
"EcoIV","20192","Repaso_1_Parcial2_530pm.pdf","EcoIV_20192_Repaso_1_Parcial2_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Parcial2_530pm.pdf","5137025","24CE51974450E7AF7B09179AAEF3AA31"
"EcoIV","20192","Repaso_2_Final_4pm.pdf","EcoIV_20192_Repaso_2_Final_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_2_Final_4pm.pdf","6058323","7BE8F6A42B2951FC2494BEFB1D6FE06F"
"EcoIV","20192","Repaso_2_Final_530pm.pdf","EcoIV_20192_Repaso_2_Final_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_2_Final_530pm.pdf","9481888","4EAD592920C20CC7277EB0943463EB97"
"EcoIV","20192","Repaso_2_Parcial1_4pm.pdf","EcoIV_20192_Repaso_2_Parcial1_4pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_2_Parcial1_4pm.pdf","9279923","0746D45B99CCBCBCD17BA33861992C80"
"EcoIV","20192","Repaso_2_Parcial1_530pm.pdf","EcoIV_20192_Repaso_2_Parcial1_530pm.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_2_Parcial1_530pm.pdf","2832312","7C9201C2B83E47A160748D504C36D474"
