"Course","Term","Section","Label","Href","Status","Url","Asset","Local"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Primer Parcial 2018-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/3mar2018.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FirstMidterm_3mar2018-2.pdf","","public_html\pdfs\EcoIV\PastExams\FirstMidterm\3mar2018.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Primer Parcial 2018-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FirstMidterm_30sept2017.pdf","","public_html\pdfs\EcoIV\PastExams\FirstMidterm\30sept2017.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Primer Parcial 2019-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FirstMidterm_30sept2017.pdf","","public_html\pdfs\EcoIV\PastExams\FirstMidterm\30sept2017.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Segundo Parcial 2016-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/12nov2016A.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_SecondMidterm_12nov2016A.pdf","","public_html\pdfs\EcoIV\PastExams\SecondMidterm\12nov2016A.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Segundo Parcial 2017-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/22abr2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_SecondMidterm_22abr2017.pdf","","public_html\pdfs\EcoIV\PastExams\SecondMidterm\22abr2017.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Segundo Parcial 2017-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/11nov2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_SecondMidterm_11nov2017.pdf","","public_html\pdfs\EcoIV\PastExams\SecondMidterm\11nov2017.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Segundo Parcial 2018-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/21abr2018.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_SecondMidterm_21abr2018.pdf","","public_html\pdfs\EcoIV\PastExams\SecondMidterm\21abr2018.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Segundo Parcial 2018-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/10nov2018.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_SecondMidterm_10nov2018.pdf","","public_html\pdfs\EcoIV\PastExams\SecondMidterm\10nov2018.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Segundo Parcial 2019-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/27abr2019.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_SecondMidterm_27abr2019.pdf","","public_html\pdfs\EcoIV\PastExams\SecondMidterm\27abr2019.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Final 2016-2","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/5dic2016A.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FinalExams_5dic2016A.pdf","","public_html\pdfs\EcoIV\PastExams\FinalExams\5dic2016A.pdf"
"EcoIV","2019-1","Exámenes viejos de Eco-IV","Final 2017-1","https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/29mayo2017.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_PastExams_FinalExams_29mayo2017.pdf","","public_html\pdfs\EcoIV\PastExams\FinalExams\29mayo2017.pdf"
