course	term	section	label	href
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture18_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 19	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture19_short.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Diapositivas con notas	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture19_Notas.pdf
EcoIV	2020-1	Monopolio y discriminación de precios	Lecture 20	https://mauricio-romero.com/pdfs/EcoIV/20201/Lecture20.pdf
EcoIV	2020-1	Notas de Clase	Notas de clase de Álvaro Riascos y Andrés Carvajal (Equilibrio general)	https://mauricio-romero.com/pdfs/MicroIII201619/notas_micro.pdf
EcoIV	2020-1	Notas de Clase	Notas de clase de Marcela Eslava (Teoría de Juegos)	https://economia.uniandes.edu.co/files/profesores/marcela_eslava/tj2016II/Notas_Juegos_revisada.pdf
EcoIV	2020-1	Notas de Clase	Resumen del curso	https://mauricio-romero.com/pdfs/EcoIV/Resumen_ParcialFinal.pdf
EcoIV	2020-1	Notas de Clase	Notas de clase de Teoría de Juegos	https://mauricio-romero.com/pdfs/EcoIV/Notas.pdf
EcoIV	2020-1	Notas de Clase	Taller de equilibrio general	https://mauricio-romero.com/pdfs/EcoIV/Taller_EqGeneral.pdf
EcoIV	2020-1	Clases de repaso	Parcial 1 - Repaso 1	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_1_Parcial1.pdf
EcoIV	2020-1	Clases de repaso	Parcial 1 - Repaso 2	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_2_Parcial1.pdf
EcoIV	2020-1	Clases de repaso	Parcial 1 - Repaso 3	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_3_Parcial1.pdf
EcoIV	2020-1	Clases de repaso	Parcial 1 - Repaso 4	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_4_Parcial1.pdf
EcoIV	2020-1	Clases de repaso	Pregunta del examen de Sept de 2011	https://mauricio-romero.com/pdfs/EcoIV/20201/Sep2011_XI.png
EcoIV	2020-1	Clases de repaso	Respuesta	https://mauricio-romero.com/pdfs/EcoIV/20201/Sept_2011_XI.pdf
EcoIV	2020-1	Clases de repaso	Solución Parcial 1 - Marzo 7 de 2020	https://mauricio-romero.com/pdfs/EcoIV/20201/SolucionParcial1.pdf
EcoIV	2020-1	Clases de repaso	Parcial 2 - Repaso 1	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_1_Parcial2.pdf
EcoIV	2020-1	Clases de repaso	Parcial 2 - Repaso 2 (solución parcial 2 de otoño 2019)	https://mauricio-romero.com/pdfs/EcoIV/20201/Solucion_Parcial_2_20192.pdf
EcoIV	2020-1	Clases de repaso	Parcial 2 - Repaso 3	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_2_Parcial2.pdf
EcoIV	2020-1	Clases de repaso	Parcial 2 - Repaso 4	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_3_Parcial2.pdf
EcoIV	2020-1	Clases de repaso	Solución Parcial 2 - Abril 18 de 2020	https://mauricio-romero.com/pdfs/EcoIV/20201/Solucion_Parcial_2_20201.pdf
EcoIV	2020-1	Clases de repaso	Final - Repaso 1	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_1_Finalv3.pdf
EcoIV	2020-1	Clases de repaso	Final - Repaso 2	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_2_Final.pdf
EcoIV	2020-1	Clases de repaso	Final - Repaso 3 (solución final de otoño 2019)	https://mauricio-romero.com/pdfs/EcoIV/20201/Repaso_3_Final.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2016-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/1oct2016A.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2017-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/4mar2017.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2017-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/30sept2017.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2018-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/3mar2018.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/29sep2018.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/2mar2019.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Primer Parcial 2019-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FirstMidterm/28sept2019.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2016-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/12nov2016A.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2017-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/22abr2017.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2017-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/11nov2017.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2018-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/21abr2018.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/10nov2018.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/27abr2019.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Segundo Parcial 2019-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/SecondMidterm/9nov2019.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2016-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/5dic2016A.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2017-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/29mayo2017.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2017-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/18dic2017.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2018-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/21may2018.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2018-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/10dic2018.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2019-1	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/27mayo2019.pdf
EcoIV	2020-1	Exámenes viejos de Eco-IV	Final 2019-2	https://mauricio-romero.com/pdfs/EcoIV/PastExams/FinalExams/16dic2019.pdf
EcoIV	2021-1	Syllabus	Syllabus	https://mauricio-romero.com/pdfs/EcoIV/20211/Temario.pdf
EcoIV	2021-1	Equilibrio General	Lecture 1	https://mauricio-romero.com/pdfs/EcoIV/20211/Lecture1.pdf
EcoIV	2021-1	Equilibrio General	Diapositivas con notas (2:30 PM)	https://mauricio-romero.com/pdfs/EcoIV/20211/Lecture1_1.pdf
EcoIV	2021-1	Equilibrio General	Diapositivas con notas (4:00 PM)	https://mauricio-romero.com/pdfs/EcoIV/20211/Lecture1_2.pdf
EcoIV	2021-1	Equilibrio General	Lecture 2	https://mauricio-romero.com/pdfs/EcoIV/20211/Lecture2.pdf
